a,cx_px,cy_px,w_px,h_px,cls_idx,cls_name,score
7072,525.768066,261.366394,128.160736,40.246002,17,Mangrove Snapper (Lutjanus griseus),0.879173
7071,525.619263,260.670502,129.171478,39.771652,17,Mangrove Snapper (Lutjanus griseus),0.823323
7073,525.880920,261.782410,127.215302,40.706985,17,Mangrove Snapper (Lutjanus griseus),0.788351
7034,528.833069,261.435211,124.661011,42.115295,17,Mangrove Snapper (Lutjanus griseus),0.772306
7033,527.265503,261.242615,126.887146,41.325546,17,Mangrove Snapper (Lutjanus griseus),0.733444
7074,526.852478,261.984406,127.521729,40.556686,17,Mangrove Snapper (Lutjanus griseus),0.714226
7032,526.485657,261.008118,127.668365,40.925095,17,Mangrove Snapper (Lutjanus griseus),0.681714
7576,273.566254,465.285767,127.048889,39.576538,225,Half Moon (Medialuna californiensis),0.649761
7325,89.730927,387.574005,141.721680,49.153748,226,Bone Fish (Albula vulpes),0.589551
7044,79.003601,256.692139,127.998962,58.110748,128,Gulf Kingfish (Menticirrhus littoralis),0.589260
7045,79.354591,256.883911,126.842270,56.998047,128,Gulf Kingfish (Menticirrhus littoralis),0.582214
7575,273.073334,466.166107,127.688171,36.755371,225,Half Moon (Medialuna californiensis),0.565892
8295,487.407166,452.668640,265.168793,57.425079,93,Northern Pike (Esox lucius),0.561575
7085,80.482773,259.204956,127.726387,61.405334,128,Gulf Kingfish (Menticirrhus littoralis),0.560583
8296,487.380676,453.059448,264.912720,57.211212,93,Northern Pike (Esox lucius),0.547398
8282,95.646996,459.541992,146.828751,65.273224,41,Sea Mullet (Mugil cephalus),0.544716
7364,90.193909,387.953918,143.696930,47.738983,226,Bone Fish (Albula vulpes),0.537965
7365,89.512047,387.901550,140.791580,49.313568,226,Bone Fish (Albula vulpes),0.502791
8242,90.861649,389.436096,143.576324,50.307587,41,Sea Mullet (Mugil cephalus),0.474756
8262,94.514526,459.766174,147.644531,66.920929,41,Sea Mullet (Mugil cephalus),0.454070
